A swarm of five guards come storming out of the palace after you.  You fight valiantly and desperately against overwhelming odds.	A swarm of five guards come storming out of the palace after you.  You fight valiantly and desperately against overwhelming odds.
Suddenly, the Djinni cries "No!  Iblis is loose!"  You and the guards turn as you hear a rumbling and crashing from inside the Palace.	Suddenly, the Djinni cries "No!  Iblis is loose!"  You and the guards turn as you hear a rumbling and crashing from inside the Palace.
Hey, this guy knows Magic.	Hey, this guy knows Magic.
     Guards, To me!     	     Guards, To me!     
What is going on?  Guards!  The gate!!	What is going on?  Guards!  The gate!!
Go get him, Elija-One!  I'll watch you make short work of this hero.	Go get him, Elija-One!  I'll watch you make short work of this hero.
Why, I oughta....!	Why, I oughta....!
I would if I could see ya!!	I would if I could see ya!!
What is going on down there?	What is going on down there?
You have no need to bust down doors up here, but you better get moving.	You have no need to bust down doors up here, but you better get moving.
Khaveen cries out in pain and the guard summons other guards who quickly subdue you.  Khaveen makes certain that you will never bother him again.	Khaveen cries out in pain and the guard summons other guards who quickly subdue you.  Khaveen makes certain that you will never bother him again.
Your attack awakens Khaveen who alerts the guards in the other room.  You are quickly overwhelmed.  It would be best if you don't announce your presence when attempting to be a burglar.	Your attack awakens Khaveen who alerts the guards in the other room.  You are quickly overwhelmed.  It would be best if you don't announce your presence when attempting to be a burglar.
What looked at first like a woman sleeping is actually a man with a beard.	What looked at first like a woman sleeping is actually a man with a beard.
Get closer to the cabinet.	Get closer to the cabinet.
Pity.  You don't have any oil.	Pity.  You don't have any oil.
As you move towards Khaveen, a board squeaks and Khaveen turns to look at you.  Your weapon can't stop him from starting to shout.  You are quickly overwhelmed and dragged off to the dungeon, but at least you have some satisfaction knowing Khaveen will no longer trouble Raseir.	As you move towards Khaveen, a board squeaks and Khaveen turns to look at you.  Your weapon can't stop him from starting to shout.  You are quickly overwhelmed and dragged off to the dungeon, but at least you have some satisfaction knowing Khaveen will no longer trouble Raseir.
You are already hiding as well as you can.	You are already hiding as well as you can.
You're already standing up.	You're already standing up.
As you hold the bird in your hand, for a moment you wonder, "Is this the stuff dreams are made of?"  You decide:  "Nah," and put it away.	As you hold the bird in your hand, for a moment you wonder, "Is this the stuff dreams are made of?"  You decide:  "Nah," and put it away.
Screeack	Screeack
As you and the man look at each other, you realize just whose house this is.   Khaveen calls for his guards, and you are quickly overwhelmed. Khaveen then takes a sword and personally makes certain you'll never steal again.	As you and the man look at each other, you realize just whose house this is.   Khaveen calls for his guards, and you are quickly overwhelmed. Khaveen then takes a sword and personally makes certain you'll never steal again.
The Guards from the other room calmly arrest you and place you in prison for a short, but unpleasant time.  Khaveen is not kind to those that break into his house and use magic against him, but you do not live to tell about it.	The Guards from the other room calmly arrest you and place you in prison for a short, but unpleasant time.  Khaveen is not kind to those that break into his house and use magic against him, but you do not live to tell about it.
The guard quickly calls in other guards, and you are overwhelmed.  Khaveen then takes a sword and personally makes certain you'll never steal again.  The last thing you see is the smile on Khaveen's face.	The guard quickly calls in other guards, and you are overwhelmed.  Khaveen then takes a sword and personally makes certain you'll never steal again.  The last thing you see is the smile on Khaveen's face.
The cabinet door is closed.	The cabinet door is closed.
Your spell has no effect after passing through the bed's veils.	Your spell has no effect after passing through the bed's veils.
You can't Fetch the cabinet.	You can't Fetch the cabinet.
You already have the statue of the bird.	You already have the statue of the bird.
Creeeak!	Creeeak!
You find you cannot move. The man before you has a low, pleasant voice, and eyes like a snake.	You find you cannot move. The man before you has a low, pleasant voice, and eyes like a snake.
%s, I am your friend.	%s, I am your friend.
Trust in your friend, and Obey me.	Trust in your friend, and Obey me.
%s, you know me.  I am your friend, Ad Avis, who helped you escape from the dungeons of Raseir.	%s, you know me.  I am your friend, Ad Avis, who helped you escape from the dungeons of Raseir.
Together we seek to aid our friend, Emir Arus.  I was his trusted Vizier, remember?	Together we seek to aid our friend, Emir Arus.  I was his trusted Vizier, remember?
We must journey to the Forbidden City, and recover the magic item that will break the spell upon the Emir.	We must journey to the Forbidden City, and recover the magic item that will break the spell upon the Emir.
We NEED to get the statue of Iblis!	We NEED to get the statue of Iblis!
You remember the statue of Iblis, don't you?  It has remarkable powers, and can break any spell it touches.	You remember the statue of Iblis, don't you?  It has remarkable powers, and can break any spell it touches.
Together you will save the Emir.  You and Ad Avis will get the statue of Iblis.	Together you will save the Emir.  You and Ad Avis will get the statue of Iblis.
You see an open doorway.	You see an open doorway.
The door is securely barred from the inside.	The door is securely barred from the inside.
You see an open door.	You see an open door.
There is an uninteresting-looking door here.	There is an uninteresting-looking door here.
The Slave Woman glares at you.	The Slave Woman glares at you.
You're already wearing them.	You're already wearing them.
You put on the Ali Fakir Genuine X-Ray Glasses.	You put on the Ali Fakir Genuine X-Ray Glasses.
You take them off and put them away.	You take them off and put them away.
As you start, you see fear in the Slave Woman's eyes.	As you start, you see fear in the Slave Woman's eyes.
Guards quickly burst into the room.  They drag you off to prison and Khaveen personally oversees your stay.  It is not long.	Guards quickly burst into the room.  They drag you off to prison and Khaveen personally oversees your stay.  It is not long.
You exchange clothes with Zayishah since you no longer have any spare ones.  You don't look very Sheik in her veil, but it's a nice fit.  Suddenly the guards break in and drag you off to the Harem.  In two weeks, you are married to Khaveen, and you both live happily ever after.	You exchange clothes with Zayishah since you no longer have any spare ones.  You don't look very Sheik in her veil, but it's a nice fit.  Suddenly the guards break in and drag you off to the Harem.  In two weeks, you are married to Khaveen, and you both live happily ever after.
I wish to disguise myself as you and leave with your Visa, so please, let me exchange clothes with you.	I wish to disguise myself as you and leave with your Visa, so please, let me exchange clothes with you.
You Discover you have no Visa, so you offer her your Master's Card.  She Sears you with her gaze, then beats you to a pulp with a Macy and takes your money.  You are unable to Ward off the blows and are soon J. C. Penniless.	You Discover you have no Visa, so you offer her your Master's Card.  She Sears you with her gaze, then beats you to a pulp with a Macy and takes your money.  You are unable to Ward off the blows and are soon J. C. Penniless.
Please, Hero, your Visa.  There isn't much time.	Please, Hero, your Visa.  There isn't much time.
Please, in order to leave the city I need one more thing, although it will be dangerous for you.  I must have your Visa.	Please, in order to leave the city I need one more thing, although it will be dangerous for you.  I must have your Visa.
If you need a place of safety in the Palace sometime, the Harem will welcome you for the aid you gave my mistress.  I shall tie a veil from the battlements at night to guide you.	If you need a place of safety in the Palace sometime, the Harem will welcome you for the aid you gave my mistress.  I shall tie a veil from the battlements at night to guide you.
You are met outside by several guards, who cheerfully drag you away to the dungeons of Raseir.	You are met outside by several guards, who cheerfully drag you away to the dungeons of Raseir.
I must hurry before the Eunuchs discover I am gone.  Khaveen will have the city searched.  Please, may I have your Visa?	I must hurry before the Eunuchs discover I am gone.  Khaveen will have the city searched.  Please, may I have your Visa?
Please, hero, we must hurry.  The guards will be searching for me soon.  I need your clothes.	Please, hero, we must hurry.  The guards will be searching for me soon.  I need your clothes.
Suddenly, the guards walk in and grab all of you, just as Zayishah had warned.  Zayishah is returned to the Harem.   You are taken to the dungeon where Khaveen is waiting for you.	Suddenly, the guards walk in and grab all of you, just as Zayishah had warned.  Zayishah is returned to the Harem.   You are taken to the dungeon where Khaveen is waiting for you.
The Eunuchs watch the women to make sure they cannot leave the Harem.	The Eunuchs watch the women to make sure they cannot leave the Harem.
No man is allowed in the Harem.  The women there knows how to keep secrets.	No man is allowed in the Harem.  The women there knows how to keep secrets.
There are many who resent Ad Avis and Khaveen, and wish to restore the city.	There are many who resent Ad Avis and Khaveen, and wish to restore the city.
Khaveen.	Khaveen.
The Sultan (May-he-reign-for ever) will care for Zayishah in Shapeir, if she can but get there.	The Sultan (May-he-reign-for ever) will care for Zayishah in Shapeir, if she can but get there.
There is one Katta left in the city.  He is with the underground.	There is one Katta left in the city.  He is with the underground.
My father is Ali Al-Din Hasan.  He is the Emir of this city, at least in name, but he has no control over anything, not even in the Palace.  He is but a puppet for Khaveen and Ad Avis.	My father is Ali Al-Din Hasan.  He is the Emir of this city, at least in name, but he has no control over anything, not even in the Palace.  He is but a puppet for Khaveen and Ad Avis.
In your clothes, I can leave the city.  I have special letters of envoy signed by Khaveen.  I need only your Visa to be free.	In your clothes, I can leave the city.  I have special letters of envoy signed by Khaveen.  I need only your Visa to be free.
I am the Emir's Daughter, Zayishah.	I am the Emir's Daughter, Zayishah.
I fear and hate him more than Khaveen.  It is he who destroyed my Uncle Arus and made Raseir the terrible place it now is.  Ad Avis was my uncle's Vizier.  There are only two passions to Ad Avis: complete Power, and complete Control.  He will stop at nothing to gain those.	I fear and hate him more than Khaveen.  It is he who destroyed my Uncle Arus and made Raseir the terrible place it now is.  Ad Avis was my uncle's Vizier.  There are only two passions to Ad Avis: complete Power, and complete Control.  He will stop at nothing to gain those.
All the women must stay there now, hiding their faces behind veils. Did you know it is forbidden for a man to speak to a woman unless she is his mother, daughter, or wife?  It is all Ad Avis's doing.  He must really hate women.	All the women must stay there now, hiding their faces behind veils. Did you know it is forbidden for a man to speak to a woman unless she is his mother, daughter, or wife?  It is all Ad Avis's doing.  He must really hate women.
I do not know what magic Ad Avis has, but it is clear he is a Wizard.  You must not get near him unless you are protected against spells.	I do not know what magic Ad Avis has, but it is clear he is a Wizard.  You must not get near him unless you are protected against spells.
The Palace is filled with guards and all women must stay in the Harem.	The Palace is filled with guards and all women must stay in the Harem.
I know how to survive in the desert, it is my home.  Before Ad Avis took over the city, I roamed it freely at will.  The caravan is but a day's ride ahead of me.  I will catch it easily.	I know how to survive in the desert, it is my home.  Before Ad Avis took over the city, I roamed it freely at will.  The caravan is but a day's ride ahead of me.  I will catch it easily.
The Fountain of the city dried up just after my Uncle Arus disappeared.	The Fountain of the city dried up just after my Uncle Arus disappeared.
The Katta cries out in pain, causing the guards to rush in.   They take you to a cell from which you can find no escape.	The Katta cries out in pain, causing the guards to rush in.   They take you to a cell from which you can find no escape.
The cell is made from quarried rock, with massive iron bars and a huge gate.  Despite the heat outside, it is very cold in here.	The cell is made from quarried rock, with massive iron bars and a huge gate.  Despite the heat outside, it is very cold in here.
Thank you, for your kindness.  Now it's time to think about escaping.	Thank you, for your kindness.  Now it's time to think about escaping.
Thank you for offering, but it appears you are out of food.  But that's not the important issue here, it is time to think about escaping.	Thank you for offering, but it appears you are out of food.  But that's not the important issue here, it is time to think about escaping.
The katta just stares suspiciously at you.	The katta just stares suspiciously at you.
You hear the sounds of guards talking just outside the outer door.	You hear the sounds of guards talking just outside the outer door.
The bars are made of thick iron.  Bending them would be out of the question.	The bars are made of thick iron.  Bending them would be out of the question.
As you struggle with the astonishingly tough katta, the guards enter and separate you both, taking you to a cell from which you cannot escape.	As you struggle with the astonishingly tough katta, the guards enter and separate you both, taking you to a cell from which you cannot escape.
The Katta raises his eyebrows in surprise, but then resumes his silent, suspicious stare.	The Katta raises his eyebrows in surprise, but then resumes his silent, suspicious stare.
Thank you, my friend.	Thank you, my friend.
That does not seem to be a sign the Katta recognizes, for he watches you with amusement.	That does not seem to be a sign the Katta recognizes, for he watches you with amusement.
But he soon resumes his silent stare.	But he soon resumes his silent stare.
Which one?  There are many here, but none of them appear to be moveable.	Which one?  There are many here, but none of them appear to be moveable.
Nobody can stare down a katta.  After several seconds, you become bleary-eyed and turn away.	Nobody can stare down a katta.  After several seconds, you become bleary-eyed and turn away.
Your equipment is on the stone table.	Your equipment is on the stone table.
You had better leave quickly.  There's no time for a search now.	You had better leave quickly.  There's no time for a search now.
Good idea, but how?  Where?	Good idea, but how?  Where?
You look around and see a large stone whose mortar has been loosened.	You look around and see a large stone whose mortar has been loosened.
You find only the Katta and some straw.	You find only the Katta and some straw.
You find nothing but straw.	You find nothing but straw.
You find a slightly rusty nail in a crack between the stones of the floor.	You find a slightly rusty nail in a crack between the stones of the floor.
Remembering your Advanced Adventuring lessons, you set to work on the cell door lock, using the %s as a lockpick	Remembering your Advanced Adventuring lessons, you set to work on the cell door lock, using the %s as a lockpick
You can climb the bars easily, but that won't help you escape.	You can climb the bars easily, but that won't help you escape.
The Katta isn't going anywhere he doesn't want to go.	The Katta isn't going anywhere he doesn't want to go.
Go ahead.  The door's open.	Go ahead.  The door's open.
That could be hard to do while locked inside a jail cell.	That could be hard to do while locked inside a jail cell.
The katta watches you calmly with a mixture of interest and suspicion.	The katta watches you calmly with a mixture of interest and suspicion.
A pin like that can only be seen by a friend, such is its magic.  It is Katta magic.  You must be very trusted by my people to gain such a thing.	A pin like that can only be seen by a friend, such is its magic.  It is Katta magic.  You must be very trusted by my people to gain such a thing.
You find yourself crawling through a twisty passage for what seems like forever.  When it comes to a dead end, you force open another panel and find yourself in the streets of Raseir.	You find yourself crawling through a twisty passage for what seems like forever.  When it comes to a dead end, you force open another panel and find yourself in the streets of Raseir.
The entrance to the passageway should be here.....	The entrance to the passageway should be here.....
