Hello!  Bone Jar!  Hi, guy!  Set a spell, take your shoes off!  What may I do to you?	Hello!  Bone Jar!  Hi, guy!  Set a spell, take your shoes off!  What may I do to you?
Top o' the morning to ya!  Mar Haba!  What's New, Pussycat?	Top o' the morning to ya!  Mar Haba!  What's New, Pussycat?
A River Dirty, Gerty!  Adieu to you!  'Bye for now, purple cow.	A River Dirty, Gerty!  Adieu to you!  'Bye for now, purple cow.
Ah, be a toe, Joe!  See ya later, alligator.	Ah, be a toe, Joe!  See ya later, alligator.
Bone Sewer, Sir!  After a while, Crocodile.	Bone Sewer, Sir!  After a while, Crocodile.
Hasta La Pasta!  Brain those nachos!  See ya soon, Raccoon!	Hasta La Pasta!  Brain those nachos!  See ya soon, Raccoon!
TTFN - Ta-ta for now!  Bon Voyage!	TTFN - Ta-ta for now!  Bon Voyage!
How do you do, adieu.  Good night and don't let the Bed Bugs bite!	How do you do, adieu.  Good night and don't let the Bed Bugs bite!
Nharak sa'id!  Aloha Oe!  Well come in!  Gesundheit!  Tip a canoe and how do you do?	Nharak sa'id!  Aloha Oe!  Well come in!  Gesundheit!  Tip a canoe and how do you do?
I am Keapon Laffin, Proprietor.  You must be Nobile Caws.   Proud to know you, Mister Caws.  Shapeir always hopes for heroes.	I am Keapon Laffin, Proprietor.  You must be Nobile Caws.   Proud to know you, Mister Caws.  Shapeir always hopes for heroes.
If you need to know some knowledge about the magic way, then go and see Aziza who'll enchant you if you stay.	If you need to know some knowledge about the magic way, then go and see Aziza who'll enchant you if you stay.
Good-bye!  See you real soon, Effendi Caws I like you.	Good-bye!  See you real soon, Effendi Caws I like you.
The fire elemental had a seething passion for a sultry old flame who burned him once.	The fire elemental had a seething passion for a sultry old flame who burned him once.
The Dervish of the desert sent a bedouin to my boudoir, and I hear he needs a hero for to help him bait a beast.	The Dervish of the desert sent a bedouin to my boudoir, and I hear he needs a hero for to help him bait a beast.
You have to watch the old codger - he's being cagey, but Dervish is my command.	You have to watch the old codger - he's being cagey, but Dervish is my command.
They say an earthy elemental is aground, but he just wants to be left a loam.	They say an earthy elemental is aground, but he just wants to be left a loam.
Did you sea the swell elemental that's made such a splash in the fountain?	Did you sea the swell elemental that's made such a splash in the fountain?
If you haven't seen her already today, the End Chant Dress wishes to chat.	If you haven't seen her already today, the End Chant Dress wishes to chat.
You need to make a final bow before Auntie Azizie's alter-ego.	You need to make a final bow before Auntie Azizie's alter-ego.
Be ware, Larry, I hear it's hairy there, so watch your derriere.	Be ware, Larry, I hear it's hairy there, so watch your derriere.
Goat got your throat or just lost your voice?  You might check the Flossed and Crowned for missing teeth.	Goat got your throat or just lost your voice?  You might check the Flossed and Crowned for missing teeth.
Asleep at the heel and slipping into slumber?  I deplore being a bore, so just don't snore, senor.	Asleep at the heel and slipping into slumber?  I deplore being a bore, so just don't snore, senor.
Resting on your Laurels, Hardy, or dreaming of days, Hays?	Resting on your Laurels, Hardy, or dreaming of days, Hays?
Cousin to Santa and Lost, aren't you?	Cousin to Santa and Lost, aren't you?
Clip, clop to the Magic shop to see the owner flip his flop.  I sell spells, can't you tell?	Clip, clop to the Magic shop to see the owner flip his flop.  I sell spells, can't you tell?
Wonder of Wonders and will wonders never cease?  You'll wonder where the yellow went, and whether geese have fleece.	Wonder of Wonders and will wonders never cease?  You'll wonder where the yellow went, and whether geese have fleece.
Properly and proudly I propound with all propriety.  Certainly and soundly, I speak with all sobriety.  I am the very model of a major modern magic man (well, Gnome, actually).	Properly and proudly I propound with all propriety.  Certainly and soundly, I speak with all sobriety.  I am the very model of a major modern magic man (well, Gnome, actually).
Do I know Yorick?  He's my cousin, Laspo.  Ah, Laspo Yorick, I knew him, hero.	Do I know Yorick?  He's my cousin, Laspo.  Ah, Laspo Yorick, I knew him, hero.
I'm a little low on spells in stock, but I do have scrolls of Detect Magic for a negligible 10 dinars, Trigger for only 15, Force Bolt for a measly 20, Levitate for a mere 30 dinars, and Erasmus' Razzle Dazzle for a paltry 25 dinars.	I'm a little low on spells in stock, but I do have scrolls of Detect Magic for a negligible 10 dinars, Trigger for only 15, Force Bolt for a measly 20, Levitate for a mere 30 dinars, and Erasmus' Razzle Dazzle for a paltry 25 dinars.
If you have a need for nudging or a bent for bouncing, this spell is swell.  It can punch, it can push, it can even beat around the bush.  All this for a mere 20 dinars.	If you have a need for nudging or a bent for bouncing, this spell is swell.  It can punch, it can push, it can even beat around the bush.  All this for a mere 20 dinars.
Whose bed am I in?  What kind of personal question is that?  Oh, bedouin!  He's a desert drifter who shifts with sifting sands.	Whose bed am I in?  What kind of personal question is that?  Oh, bedouin!  He's a desert drifter who shifts with sifting sands.
Come here, Oh stranger, and save us from danger.  It's a dirty job, and I'm glad you're here to do it, Pruitt.  People say you're pretty neat, Pete.	Come here, Oh stranger, and save us from danger.  It's a dirty job, and I'm glad you're here to do it, Pruitt.  People say you're pretty neat, Pete.
Actually, Pete was a friend of mine who tangled with a wizard.  Now pizza elemental.	Actually, Pete was a friend of mine who tangled with a wizard.  Now pizza elemental.
Be it ever so humble, there's no face like Gnome.	Be it ever so humble, there's no face like Gnome.
Hard to learn a spell unless you have a scroll.  Once it's read; it's in your head, Fred.	Hard to learn a spell unless you have a scroll.  Once it's read; it's in your head, Fred.
Behold the beast of burden, it travels in the herd, then it frequently is heard when a Saurus is absurd, men.	Behold the beast of burden, it travels in the herd, then it frequently is heard when a Saurus is absurd, men.
Sorry, Charlie.  I don't have a scroll for that Wizard Spell.  It tends to disappear fast.	Sorry, Charlie.  I don't have a scroll for that Wizard Spell.  It tends to disappear fast.
A magic user went to school, so he could learn the magic rule.  And when he learned what he had heard, he had become a great Wizard.  (He went, to WIT, of course.)	A magic user went to school, so he could learn the magic rule.  And when he learned what he had heard, he had become a great Wizard.  (He went, to WIT, of course.)
It's used to make dark stains on light clothes.  If you need it to ground old Blowhard, it's yours for a song.  Dust in the Wind.  All you need is dust in the wind.	It's used to make dark stains on light clothes.  If you need it to ground old Blowhard, it's yours for a song.  Dust in the Wind.  All you need is dust in the wind.
If you are inclined to climb, a Magic Rope can give you hope.  To make it rise, close your eyes, raise your arms high, and watch it fly.	If you are inclined to climb, a Magic Rope can give you hope.  To make it rise, close your eyes, raise your arms high, and watch it fly.
It's a good tool, fool, but remember the rule - the Magic can't last, and on your last cast, it'll go fast - so don't waste it, or you might find yourself hanging in air with nothing there.	It's a good tool, fool, but remember the rule - the Magic can't last, and on your last cast, it'll go fast - so don't waste it, or you might find yourself hanging in air with nothing there.
We have a special on Magic Ropes this year.  It usually costs 12,500 centimes.  For a limited time only, though, it's only 125 dinars.  So do you wanta scope a rope, Miss Anthrope?	We have a special on Magic Ropes this year.  It usually costs 12,500 centimes.  For a limited time only, though, it's only 125 dinars.  So do you wanta scope a rope, Miss Anthrope?
Djinni, Genie, Jeannie, Djinn; the desert's where they all begin.  Djinni, Ifreet, Marid, Djann; Magic's where they all began.	Djinni, Genie, Jeannie, Djinn; the desert's where they all begin.  Djinni, Ifreet, Marid, Djann; Magic's where they all began.
There is no better way to arouse a rock's ire, than to fight with a light and to smite him with fire. 	There is no better way to arouse a rock's ire, than to fight with a light and to smite him with fire. 
Matter Monster, made by man.  Chaos tossed across the land.  Catch them, grab them if you can.  Then they're there at your command.	Matter Monster, made by man.  Chaos tossed across the land.  Catch them, grab them if you can.  Then they're there at your command.
Griffin, Jackal, TerrorSaurus, Ghoul;  learn their ways in Adventurer's School.  Brigand, Djinni, Scorpion, all;  ask for info at the Guild Hall.	Griffin, Jackal, TerrorSaurus, Ghoul;  learn their ways in Adventurer's School.  Brigand, Djinni, Scorpion, all;  ask for info at the Guild Hall.
Magic, magic everywhere.  Find it at Aziza's lair.  Magic, magic, wait a bit.  Find it in the soul of WIT.  Magic, magic in the stars.  The astrologer can see that far.	Magic, magic everywhere.  Find it at Aziza's lair.  Magic, magic, wait a bit.  Find it in the soul of WIT.  Magic, magic in the stars.  The astrologer can see that far.
Magic, magic, where'd it begin?  Go and ask the mighty Djinn.  Magic, Magic, where'd it stop?  Look around my magic shop.	Magic, magic, where'd it begin?  Go and ask the mighty Djinn.  Magic, Magic, where'd it stop?  Look around my magic shop.
"The Sultan sits upon this throne, I ponder if he's ever home?  The Sultan sits inside his palace.  Is he there? Well, go ask Alice." (If you can find her - Last we met she had a chat with a cat and chatter with the Hatter.  It's a wonder, man.)	"The Sultan sits upon this throne, I ponder if he's ever home?  The Sultan sits inside his palace.  Is he there? Well, go ask Alice." (If you can find her - Last we met she had a chat with a cat and chatter with the Hatter.  It's a wonder, man.)
The Plaza of the Fighters is west of here, Greer.  There you'll find the hall, Paul.	The Plaza of the Fighters is west of here, Greer.  There you'll find the hall, Paul.
There was a Money Changer and her name was Dinarzad.  It's understood that she was goood and very, very Baad.  You can find her at the end of Dinar Tarik, my lad.	There was a Money Changer and her name was Dinarzad.  It's understood that she was goood and very, very Baad.  You can find her at the end of Dinar Tarik, my lad.
Do not hurry.  Do not wait.  The astrologer will tell your fate.  He is not near.  He is not far.  He's at the end of Tarik of Stars.	Do not hurry.  Do not wait.  The astrologer will tell your fate.  He is not near.  He is not far.  He's at the end of Tarik of Stars.
Auntie Azizie lives off the east end of Shmali Tarik.  Mind your P's and Q's when you are there, or she might send you you-know-where.	Auntie Azizie lives off the east end of Shmali Tarik.  Mind your P's and Q's when you are there, or she might send you you-know-where.
Purrfect Purrsons.	Purrfect Purrsons.
The Dervish of the Desert oversees his own oasis as he sits upon the sands by the shore of his small spring.  It is somewhere south of Shapeir and in inches a bit east, If you're going to go and gab with him you'd better take a beast.	The Dervish of the Desert oversees his own oasis as he sits upon the sands by the shore of his small spring.  It is somewhere south of Shapeir and in inches a bit east, If you're going to go and gab with him you'd better take a beast.
Keapon Laffin is my name.  Ask me again, and I'll tell you the same.	Keapon Laffin is my name.  Ask me again, and I'll tell you the same.
Ancient history is such a mystery, that's what it is to me.	Ancient history is such a mystery, that's what it is to me.
