The fear of fire is great to a seller of rugs.  A thousand thanks for saving our city, brave one.	The fear of fire is great to a seller of rugs.  A thousand thanks for saving our city, brave one.
Shameen and Shema have spoken truly of your courage.  May fortune favor you, Hero of Shapeir.	Shameen and Shema have spoken truly of your courage.  May fortune favor you, Hero of Shapeir.
My carpets nearly went flying by the force of the wind.  But for your bravery, there would be little left here that was not blown away.  Our people are in your debt.	My carpets nearly went flying by the force of the wind.  But for your bravery, there would be little left here that was not blown away.  Our people are in your debt.
You have the gratitude of the Katta.	You have the gratitude of the Katta.
It is good to know that such Heroes as yourself are around when misfortune strikes.	It is good to know that such Heroes as yourself are around when misfortune strikes.
The Elemental of Earth would have crushed the city, but for you.	The Elemental of Earth would have crushed the city, but for you.
We Katta tried to think of some way to say how much we were grateful.  Please accept this gift of a sapphire pin.   May it do you good.	We Katta tried to think of some way to say how much we were grateful.  Please accept this gift of a sapphire pin.   May it do you good.
You take the sapphire pin and place it through your lapel.	You take the sapphire pin and place it through your lapel.
The shape of the pin stirs an old memory.  You recall how you used to practice with such simple pins when first learning how to pick locks.  You decide not to mention this to the honest merchant.	The shape of the pin stirs an old memory.  You recall how you used to practice with such simple pins when first learning how to pick locks.  You decide not to mention this to the honest merchant.
For that you must talk to Tiram, across the Plaza.	For that you must talk to Tiram, across the Plaza.
Tiram is across the plaza.	Tiram is across the plaza.
After trying to make a deal for some twenty minutes, you realize that you really don't need the pin anyway, and certainly can't afford it.	After trying to make a deal for some twenty minutes, you realize that you really don't need the pin anyway, and certainly can't afford it.
Such a shame that we could not make a deal.  The pin was truly perfect for you.	Such a shame that we could not make a deal.  The pin was truly perfect for you.
I have no other suitable pins, Effendi.	I have no other suitable pins, Effendi.
It has a value of 500 dinars.  Would you care to bargain?	It has a value of 500 dinars.  Would you care to bargain?
No other pin is as fine as the one you already obtained from Sashanan.	No other pin is as fine as the one you already obtained from Sashanan.
There is a beautiful sapphire pin in Sashanan's display case.	There is a beautiful sapphire pin in Sashanan's display case.
The Plaza of the Palace bustles with the activities of the local merchants.	The Plaza of the Palace bustles with the activities of the local merchants.
Jewelry of the finest gems inlaid in rings of gold and silver, necklaces of beautiful stones, things of beauty which will last forever--all of which I sell.	Jewelry of the finest gems inlaid in rings of gold and silver, necklaces of beautiful stones, things of beauty which will last forever--all of which I sell.
I am called Sashanan, the "Diamond of the Desert."	I am called Sashanan, the "Diamond of the Desert."
For that you must talk to Sashanan, across the Plaza.	For that you must talk to Sashanan, across the Plaza.
Sashanan is across the plaza.	Sashanan is across the plaza.
